ID,Name,Attribute,Race,Max Lvl,Exp Curve,Max Exp,Rarity,Cost,Series,Lvl 1 HP,Lvl 1 ATK,Lvl 1 REC,Lvl Max HP,Lvl Max ATK,Lvl Max REC,Active Skill 1,Active Skill 1 Description,Active Skill 2,Active Skill 2 Description,Leader Skill,Leader Skill Description
694,Tofu-kozo,Light,Elf,50,2000K,500000,3,6,Hyakki Yagy - Jinx,301,141,135,744,350,413,Slight Changes - Light,Turn at most 3 Dark Runestones into Light Runestones,,,Anger of the Light,Light Attack x 2
695,Futakuchi-onna,Dark,Elf,50,2000K,500000,3,6,Hyakki Yagy - Jinx,283,166,122,699,412,372,Slight Changes - Dark,Turn at most 3 Light Runestones into Dark Runestones,,,Anger of the Darkness,Dark Attack x 2
696,Kappa the Child of Rivers,Water,Beast,99,4000K,4000000,6,15,Hyakki Yagy - Charm,1320,640,57,2589,1113,134,Estuary,"For 1 Round, the more Team Members of different Races, the higher the Water Attack, to the max x 2 if there are Members of 4 different Races",,,Fury of Beasts,Beast Attack x 2.5
697,Ibarakidouji the Gate Keeper,Fire,Demon,99,4000K,4000000,6,15,Hyakki Yagy - Charm,667,851,75,1242,1708,330,Threatening Aura,"For 1 Round, the lower the HP, the higher the Fire Attack, to the max x 2",,,Anger of Demons,Demon Attack x 2
698,Yamauba the Mother of Hills,Earth,Demon,99,4000K,4000000,6,15,Hyakki Yagy - Charm,733,921,78,1364,1651,346,Spirit Chaser,"For 1 Round, the more Humans in the Team, the higher the Monster's Attack, to the max x 8 (no sharing)",,,Wrathful Flames of Demons,Demon Attack and HP x 1.5
699,Rokurokubi the Grave Wanderer,Light,Elf,99,4000K,4000000,6,15,Hyakki Yagy - Charm,516,417,263,1231,796,699,Runestone Shift - Light,Turn all Dark Runestones into Light Runestones.,,,Dunamis of Elf,Elf Attack and Recovery x 1.5
700,Doumeki the Eye Collector,Dark,Demon,99,4000K,4000000,6,15,Hyakki Yagy - Charm,646,892,78,1179,1773,343,Quick Reader,Unlimited Runestone movement for 7 seconds,,,Anger of Demons,Demon Attack x 2
701,Spirit of the Splendid Sun,Light,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
702,Soul of the Ivory Moon,Dark,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
703,Solar Destroyer Sirius,Light,Beast,99,7000K,7000000,8,32,Sealed Lords,1440,953,96,3451,1658,222,Evil Light Spirits,"For 1 Round, Dark Runestones also possess the effect of Light Runestones",Command of Lords,Turn all Dark and Heart Runestones into Light Runestones,Strong Will - Light,Runestone moving time reduces by half; Team Attack x 3
704,Lunar Destroyer Sirius,Dark,Beast,99,7000K,7000000,8,32,Sealed Lords,1353,1026,86,3245,1864,200,Sacred Dark Spirits,"For 1 Round, Light Runestones also possess the effect of Dark Runestones",Command of Devils,Turn all Light and Heart Runestones into Dark Runestones,Strong Will - Dark,Runestone moving time reduces by half; Team Attack x 3
705,Scrooge the Mafia,Fire,Human,99,6000K,6000000,6,35,Guild Event,916,683,115,2238,1667,320,Blazing Encirclement,Turn all Runestones into Fire Runestones.,,,Power of Outlaw,Human and Demon Attack x 2.5
706,Anger of Rollers - Bolla,Water,Beast,70,5000K,2478655,4,8,Greek Daemons,720,248,140,1299,584,308,Water Trace,Water Damage dealt to enemies continues to increase until no Water Damage is dealt.,,,Power of the Ocean,Water Attack x 1.5
707,Hybrid of Heaven - Chimera,Fire,Beast,70,5000K,2478655,4,8,Greek Daemons,758,266,124,1367,625,275,Fire Trace,Fire Damage dealt to enemies continues to increase until no Fire Damage is dealt.,,,Power of the Flame,Fire Attack x 1.5
708,Pan the Lord of Shepherds,Earth,Beast,70,5000K,2478655,4,8,Greek Daemons,832,229,130,1503,538,289,Earth Trace,Earth Damage dealt to enemies continues to increase until no Earth Damage is dealt.,,,Power of the Woods,Earth Attack x 1.5
709,Pholus the Centaur Warrior,Light,Beast,70,5000K,2478655,4,8,Greek Daemons,750,232,143,1353,545,317,Light Trace,Light Damage dealt to enemies continues to increase until no Light Damage is dealt.,,,Power of the Light,Light Attack x 1.5
710,Daemon of Sorrow - Lamia,Dark,Beast,70,5000K,2478655,4,8,Greek Daemons,705,274,129,1272,643,286,Dark Trace,Dark Damage dealt to enemies continues to increase until no Dark Damage is dealt.,,,Power of the Darkness,Dark Attack x 1.5
711,Gory Aristocrat Elizabeth,Water,Demon,99,6500K,6500000,7,20,Crimson Grace,725,1188,80,1475,2249,390,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Inundation - Water,"Every time Water Runestones are dissolved, Water Attack increases.  If no Water Runestones are dissolved for 2 consecutive Rounds, Attack decreases.  When Attack reaches the max x 3.5, Attack decreases if no Water Runestones are dissolved for 1 Round"
712,Jackie the Holocaust Igniter,Fire,Demon,99,6500K,6500000,7,20,Crimson Grace,755,1259,70,1531,2377,344,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Inundation - Fire,"Every time Fire Runestones are dissolved, Fire Attack increases.  If no Fire Runestones are dissolved for 2 consecutive Rounds, Attack decreases.  When Attack reaches the max x 3.5, Attack decreases if no Fire Runestones are dissolved for 1 Round"
713,Belle the Amorous Soulmate,Earth,Demon,99,6500K,6500000,7,20,Crimson Grace,839,1115,75,1691,2165,376,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Truculence Inundation - Earth,"Every time Earth Runestones are dissolved, Earth Attack increases.  If no Earth Runestones are dissolved for 2 consecutive Rounds, Attack decreases.  When Attack reaches the max x 3.5, Attack decreases if no Earth Runestones are dissolved for 1 Round"
714,Death Artist Jack,Light,Demon,99,6500K,6500000,7,20,Crimson Grace,755,1114,83,1533,2163,426,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Demons' Nature - Attack,Demon Attack x 2; HP and Recovery x 1.5
715,Spirit Gourmand Todd,Dark,Demon,99,6500K,6500000,7,20,Crimson Grace,710,1306,74,1447,2462,362,Truculence of Killer,Team Attack x 1.5. The no. of enemies defeated in the Round of activation becomes the number of Round the Skill stays in play (enemies defeated by Active Skills excluded).,,,Demons' Nature - Attack,Demon Attack x 2; HP and Recovery x 1.5
716,Scrubia the Vengeful Demi-dragon,Water,Demon,99,3500K,3500000,5,14,Minds of the Fray,590,798,87,1391,1914,460,Baffling Pixies - Water,"If there are 2 or less Water Runestones on the screen, 2 random columns of Runestones will become Water Runestones; otherwise 1 random column of Runestones will become Water Runestones",,,Wrathful Flames of Demons,Demon Attack and HP x 1.5
717,Thetis the Wilful Shield,Fire,Demon,99,3500K,3500000,5,14,Minds of the Fray,606,811,75,1445,1994,398,Baffling Pixies - Fire,"If there are 2 or less Fire Runestones on the screen, 2 random columns of Runestones will become Fire Runestones; otherwise 1 random column of Runestones will become Fire Runestones",,,Wrathful Flames of Demons,Demon Attack and HP x 1.5
718,Rosa Sisters - Amor & Celos,Earth,Demon,99,3500K,3500000,5,14,Minds of the Fray,676,817,80,1463,1953,426,Rosa Double-hit,"When the Monster attacks, an extra Earth Attack will be launched for 3 Rounds.",,,Anger of Demons,Demon Attack x 2
719,Imanotsurugi & Usumidori,Light,Demon,99,3500K,3500000,5,14,Minds of the Fray,606,820,87,1512,1861,464,Last Trick,15% of total HP will be deducted each round for 2 Rounds; CDs of all enemies will be delayed by 2 Rounds.  The effect will cancel when HP becomes 15% or lower.,,,Anger of Demons,Demon Attack x 2
720,L Lingshuang the Vicious Cadaver,Dark,Demon,99,3500K,3500000,5,14,Minds of the Fray,567,869,79,1207,2086,418,Baffling Pixies - Dark,"If there are 2 or less Dark Runestones on the screen, 2 random columns of Runestones will become Dark Runestones; otherwise 1 random column of Runestones will become Dark Runestones.",,,Anger of Demons,Demon Attack x 2
721,Dragonic Avenger - Beowulf,Water,Demon,99,7500K,7500000,7,30,Immortal Heroic Spirits,2956,3585,302,4182,4822,1119,Battlefield of Waves (1379),"For 2 Rounds, turn all enemies' Attributes into Fire; Water Attack on Fire enemies increases.  If all enemies in the Wave are defeated when the effect is in play, the current Skill CD -3.",Baffling Pixies - Wave,Turn 2 random columns of Runestones into Water Runestone,Fury of Demons,Demon Attack x 2.5
722,Achilles the Untamed Warlord,Fire,Demon,99,7500K,7500000,7,30,Immortal Heroic Spirits,3044,3754,263,4314,5004,974,Battlefield of Flame (1380),"For 2 Rounds, turn all enemies' Attributes into Earth; Fire Attack on Earth enemies increases.  If all enemies in the Wave are defeated when the effect is in play, the current Skill CD -3.",Baffling Pixies - Flames,Turn 2 random columns of Runestones into Fire Runestone,Nature of Demons,"Demon Attack, HP and Recovery x 1.5"
723,Diarmuid the Bipolar Lancer,Earth,Demon,99,7500K,7500000,7,30,Immortal Heroic Spirits,3100,3386,290,4560,4660,1102,Offensive Stance - Earth,Turn all Heart Runestones into Earth Runestones.,Unflagging Efforts - Earth (1383),"For 2 Rounds, when Earth Monsters attack, an extra Earth Attack will be launched",Bloody Rage of Demons,Demon Attack x 2; HP x 1.5
724,Katana - Minamoto no Yoshitsune,Light,Demon,99,7500K,7500000,7,30,Immortal Heroic Spirits,2817,3449,320,4207,4687,1194,Attack Conversion - Light & Dark,Turn Heart Runestones into Light Runestones; Dark Runestones into Heart Runestones,Final Trick,15% of total HP will be deducted each round for 3 Rounds; CDs of all enemies will be delayed by 3 Rounds.  The effect will cancel when HP becomes 15% or lower,Dual Effect - Light,Light Attack x 1.5; Heart Runestones also possess 50% effect of Light Runestones
725,L Bu the Bedemoned General,Dark,Demon,99,7500K,7500000,7,30,Immortal Heroic Spirits,2499,3842,272,3809,5210,1002,Perish Together,Reduce enemy's HP by 30% in the expense of 50% current HP.,Baffling Pixies - Gloom,Turn 2 random columns of Runestones into Dark Runestone,Army of Demons,Demon Attack x 2; Recovery x 1.5
726,Yuki-onna,Water,Demon,50,3000K,750000,5,10,Hyakki Yagy - Curse,435,443,59,790,961,246,Defensive Stance EX - Water,Turn all Fire Runestones into Enchanted Heart Runestones.,,,Revival of Allure - Water,Water Attack x 2. Demon Recovery x 2
727,Princess of Icicle - Yuki-onna,Water,Demon,99,4000K,4000000,6,18,Hyakki Yagy - Curse,682,793,100,1334,1770,441,Defensive Stance EX - Water,Turn all Fire Runestones into Enchanted Heart Runestones.,,,Revival of Allure - Wave,Water Attack x 2.5. Demon Recovery x 2
728,Shuten-dji,Fire,Demon,50,3000K,750000,5,10,Hyakki Yagy - Curse,458,474,52,832,1027,217,Fiendish Resentment - Fire,Fire Attack x 1.5 and Fire Demon Attack x 2.5 for 1 Round when there is an additional effect in play,,,Revival of Allure - Fire,Fire Attack x 2. Demon Recovery x 2
729,Kingpin of Youkai - Shuten-dji,Fire,Demon,99,4000K,4000000,6,18,Hyakki Yagy - Curse,718,839,89,1404,1871,391,Fiendish Resentment - Fire,Fire Attack x 1.5 and Fire Demon Attack x 2.5 for 1 Round when there is an additional effect in play,,,Revival of Allure - Flames,Fire Attack x 2.5. Demon Recovery x 2
730,Karasutengu,Earth,Demon,50,3000K,750000,5,10,Hyakki Yagy - Curse,503,407,55,913,885,229,Delay,CDs of all enemies will be delayed for 1 Round,,,Revival of Allure - Earth,Earth Attack x 2. Demon Recovery x 2
731,Ootengu the Stiff Monk,Earth,Demon,99,4000K,4000000,6,18,Hyakki Yagy - Curse,808,749,96,1582,1672,422,Delay,CDs of all enemies will be delayed for 1 Round,,,Revival of Allure - Wood,Earth Attack x 2.5. Demon Recovery x 2
732,Kejourou,Light,Demon,50,3000K,750000,5,10,Hyakki Yagy - Curse,453,412,60,823,894,252,Transformation - Light,"Randomly turn Runestones as much as the accumulated Rounds +1 into Light Runestones, to the max 8 Runestones (dissolving Runestones is necessary). The number of Runestones to be converted will reset after activation.",,,Wrath of Demon - Light,Light Demon Attack x 2.5
733,Kejourou the Bloody Geisha,Light,Demon,99,4000K,4000000,6,18,Hyakki Yagy - Curse,598,712,116,1289,1608,487,Transformation - Light,"Randomly turn Runestones as much as the accumulated Rounds +1 into Light Runestones, to the max 8 Runestones (dissolving Runestones is necessary). The number of Runestones to be converted will reset after activation.",,,Outrage of Demon - Light,Light Demon Attack x 3.5
734,Tuchigumo,Dark,Demon,50,3000K,750000,5,10,Hyakki Yagy - Curse,426,486,54,773,1056,227,Violence of Killer,Demon Attack x 1.5 until attacked by enemies.,,,Wrath of Demon - Dark,Dark Demon Attack x 2.5
735,Lengthy Limbs - Tuchigumo,Dark,Demon,99,4000K,4000000,6,18,Hyakki Yagy - Curse,896,823,60,1518,1858,327,Violence of Killer,Demon Attack x 1.5 until attacked by enemies.,,,Outrage of Demon - Dark,Dark Demon Attack x 3.5
736,Aoandon,Fire,Evolve Elements,1,500K,0,5,20,Hyakki Yagy - Curse,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
737,"Douman Ashiya, Onmyji of Douma",Water,Demon,99,5000K,5000000,6,20,Ultimate Lords,773,1098,103,1440,1968,452,Massacre Stance,"Monster's Attack x 2.5 for 1 Round.  If neighboring members are also Water Attribute or Demon, the effect would be shared with them.",,,Spring of Allure,"Water Attack x 2.5.  When HP is lower than 50%, effect of Heart Runestones x 3 (no superimposing)"
738,Draupnir the Intellect,Dark,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
739,Gungnir - Odin the Allfather,Dark,God,99,8000K,8000000,8,40,Sealed Lords,2151,1079,155,4259,1995,352,Ultimate Attack,"For 1 Round, if HP is full upon Skill activation, HP will be depleted to 1 and turn Heart Runestones into Runestones of the Monster's Attribute; the lower the HP, the higher the Team Attack, to the max x 2.  If HP is not full upon Skill activation, the lower the HP, the higher the Team Attack, to the max x 3.",,,Will to Survive,"When HP > 50%, the next Damage received will not lead to your defeat (one activation each Round)"
740,Dionysus the Lonely God of Wine,Light,God,99,6000K,6000000,6,20,Guild Event,1232,726,206,2565,1314,458,Tipsy Sight,"If there are 2 or less Heart Runestone on the screen, turn 2 random columns of Runestones into Heart Runestones; otherwise, turn a random column of Runestones into Heart Runestones",,,The Dual Reaction - Twilight,Light Attack x 2.5; Heart Runestones also possess 50% of the effect of Light Runestones (no superimposing)
741,Infernal Phantom,Fire,Evolve Elements,1,500K,0,5,20,Power Release Materials,1200,800,300,1200,800,300,Super Healing Potion,Recover HP by 10x Monster's Recovery,,,The Healing Duo,Transform 30% of Damage received into HP recovery
742,"Diablo, Nightmare Guttler of Elements",Fire,Elf,99,6000K,6000000,8,32,Sealed Lords,1454,777,454,2775,1483,1027,Noxious Replacement - Heart,Randomly change Attributes of all Runestones; Increase the Occurrence Rate of Heart Runestones while Heart Runestones will become Enchanted Runestones.,Plunder of Life,Convert 20% Damage dealt on the enemies to HP Recovery for 2 Rounds,Castigation of Sins,Launch an Attribute-effective Counterattack as much as 3x Damage received
743,Guardian of the Four Directions - Nian,Light,God,99,2000K,2000000,7,18,Guild Event,1716,836,230,2616,1189,403,Ready for Strike,No Damage will be dealt to all enemies for 1 Round.  Combos made in the Round will be added to the next.,,,Elemental Concentration - Beast,"The more Attributes of Beasts in the Team, the higher the Team Attack, to the max x 3.5"
744,Gleaming Cyan Carp,Water,Beast,30,3500K,306487,4,8,Plump Precious Beasts,550,242,24,912,379,46,Wave Strike,Deal 10x Water Damage to all enemies,,,Power of Beasts,Beast Attack x 1.5
745,Xuan-Yuan Sword Wielder - He Rann,Light,Human,99,5000K,5000000,6,20,Ultimate Lords,1334,743,171,2619,1459,384,Skyblade Flying,"For 1 Round, if Water, Fire and Earth Runestones are dissolved in the same Round, enemy's defense -80%; if Light and Dark Runestones are dissolved, Team Attack x 1.5; if Heart Runestones are dissolved, effect of Heart Runestones x 250% (only the first batch of Runestones dissolved will be counted).",,,Faithful Companions - Human,"The more Humans in the Team, the higher the Team Attack, to the max x 3.5."
746,Syu Siao-Syue,Water,Human,50,4000K,1000000,5,8,Ancient Artifacts,603,412,113,1238,752,247,Subtlety in the Mist,"Turn 3 Runestones into Water Runestones (Light and Dark Runestones rank first in priority).  For every extra Human present in the Team, turn 2 extra Runestones into Water Runestones",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
747,Stone of Origin - Syu Siao-Syue,Water,Human,99,6000K,6000000,6,14,Ancient Artifacts,1141,780,214,2405,1462,481,Subtlety in the Mist,"Turn 3 Runestones into Water Runestones (Light and Dark Runestones rank first in priority).  For every extra Human present in the Team, turn 2 extra Runestones into Water Runestones",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
748,Tuo Ba Yu-Er,Fire,Human,50,4000K,1000000,5,8,Ancient Artifacts,541,415,115,1174,771,232,Bodhi Brahm,"The Monster launches no Attack for 1 Round. In the next Round, Water, Fire and Earth Attack x 2",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
749,Cauldron of Divinity - Tuo Ba Yu-Er,Fire,Human,99,6000K,6000000,6,14,Ancient Artifacts,1022,785,217,2280,1497,451,Bodhi Brahm,"The Monster launches no Attack for 1 Round. In the next Round, Water, Fire and Earth Attack x 2",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
750,Chen Jing-Ciou,Earth,Human,50,4000K,1000000,5,8,Ancient Artifacts,595,357,121,1289,664,244,Stars in the Jungle,"Heart Runestones possess the effect of Water, Fire and Earth Runestones for 1 Round",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
751,"Chen Jing-Ciou, Young Last Prince",Earth,Human,99,6000K,6000000,6,14,Ancient Artifacts,1124,676,228,2506,1289,475,Stars in the Jungle,"Heart Runestones possess the effect of Water, Fire and Earth Runestones for 1 Round",,,Assembly of Blades,"The Team must consist of only Water, Fire and Earth Monsters.  By dissolving Runestones of any 3 Attributes in the same Round, Team Attack x 3.  If Heart Runestones are also dissolved, there will be a 50% chance of gaining an extra of x 1.5 (the probability can be summed up)"
752,Jyu Yun & Cloudy,Light,Human,50,4000K,1000000,5,8,Ancient Artifacts,681,335,112,1302,640,244,Dance of Light and Clouds,Light Attack x 1.5 for 1 Round,,,Layers of Light,"Light Attack x 2.  The more Humans in the Team, the more Light Attack increases additionally, at most x 3.5."
753,Jyu Yun & Cloudy the Mechanics,Light,Human,99,6000K,6000000,6,14,Ancient Artifacts,1289,633,211,2531,1243,475,Dance of Light and Clouds,Light Attack x 1.5 for 1 Round,,,Layers of Light,"Light Attack x 2.  The more Humans in the Team, the more Light Attack increases additionally, at most x 3.5."
754,Septem,Dark,Human,50,4000K,1000000,5,8,Ancient Artifacts,616,411,97,1225,787,220,Gleam of Sirius,The Monster's Attack of next Round will be the same as this Round.,,,Injured Murderer,"If the Team consists of only Humans and Demons, Human and Demon Attack x 2.5; x 3.5 when HP is not full."
755,Septem the Traveling Seeker,Dark,Human,99,6000K,6000000,6,14,Ancient Artifacts,1165,779,183,2380,1530,429,Gleam of Sirius,The Monster's Attack of next Round will be the same as this Round.,,,Injured Murderer,"If the Team consists of only Humans and Demons, Human and Demon Attack x 2.5; x 3.5 when HP is not full."
756,Mu-Yue,Water,God,50,4000K,1000000,5,8,Ancient Artifacts,581,436,110,1287,769,227,Mystical Sea Ice,Turn Light and Dark Runestones into Enchanted Heart Runestones,,,Anger of Gods,God Attack x 2
757,Mu-Yue the Celestial Being,Water,God,99,6000K,6000000,6,14,Ancient Artifacts,1109,833,210,2501,1494,442,Mystical Sea Ice,Turn Light and Dark Runestones into Enchanted Heart Runestones,,,Anger of Gods,God Attack x 2
758,Jia Rou,Fire,Human,50,4000K,1000000,5,8,Ancient Artifacts,687,385,97,1315,736,211,Glow of Generous Cloud,Recover HP by 20x the Monster's Recovery for 3 Rounds,,,The Spiritual Bond,"In the Stage Day of Souls,  there is a 15% chance that an Arcane Luster appears in the last Wave of the Basic level (the probability can be summed up)"
759,Bell of Order - Jia Rou,Fire,Human,99,6000K,6000000,6,14,Ancient Artifacts,1301,728,183,2555,1429,411,Glow of Generous Cloud,Recover HP by 20x the Monster's Recovery for 3 Rounds,,,The Spiritual Promise,"In the Stage Day of Souls,  there is a 30% chance that an Arcane Luster appears in the last Wave of the Basic level (the probability can be summed up)"
760,Lu Cheng-Syuan,Earth,Human,50,4000K,1000000,5,8,Ancient Artifacts,756,386,102,1445,684,222,Robust Breath,Human Attack x 2 for 1 Round,,,The Spiritual Bond,"In the Stage Day of Souls,  there is a 15% chance that an Arcane Luster appears in the last Wave of the Basic level (the probability can be summed up)"
761,Empyrean Tower - Lu Cheng-Syuan,Earth,Human,99,6000K,6000000,6,14,Ancient Artifacts,1431,731,192,2809,1330,432,Robust Breath,Human Attack x 2 for 1 Round,,,The Spiritual Promise,"In the Stage Day of Souls,  there is a 30% chance that an Arcane Luster appears in the last Wave of the Basic level (the probability can be summed up)"
762,Yu Wun Tuo,Light,Human,50,4000K,1000000,5,8,Ancient Artifacts,655,424,107,1303,740,244,Sacred Encirclement,Turn all Runestones into Light Runestones.,,,Fortification of Sun,"Light Attack x 2.5.  If all Light Runestones on the screen are dissolved, Light Human Attack x 4 (only the first batch of Runestones dissolved is counted)."
763,Mirror of Sanctity - Yu Wun Tuo,Light,Human,99,6000K,6000000,6,14,Ancient Artifacts,1239,804,203,2532,1439,475,Sacred Encirclement,Turn all Runestones into Light Runestones.,,,Fortification of Sun,"Light Attack x 2.5.  If all Light Runestones on the screen are dissolved, Light Human Attack x 4 (only the first batch of Runestones dissolved is counted)."
764,Yan-Peng & Syu Mu-Yun,Dark,Human,50,4000K,1000000,5,8,Ancient Artifacts,622,428,98,1231,803,221,Ensiform Breath,"Turn Light Runestones into Enchanted Light Runestones, Dark Runestones into Enchanted Dark Runestones",,,The Yin Yang Circle,"Light and Dark Attack x 2.  If Light and Dark Runestones are dissolved in the same Round, Light and Dark Attack x 1.5 additionally (effects can be superimposed)."
765,Xuan-Yuan Sword - Huang Fu Duo,Dark,Human,99,6000K,6000000,6,14,Ancient Artifacts,1177,810,185,2393,1560,431,Ensiform Breath,"Turn Light Runestones into Enchanted Light Runestones, Dark Runestones into Enchanted Dark Runestones",,,The Yin Yang Circle,"Light and Dark Attack x 2.  If Light and Dark Runestones are dissolved in the same Round, Light and Dark Attack x 1.5 additionally (effects can be superimposed)."
766,Sih Kong Yu,Earth,Human,50,4000K,1000000,5,8,Ancient Artifacts,675,331,91,1363,633,209,Flowing Breeze,Turn Water and Fire Runestones into Enchanted Heart Runestones,,,Anger of Human,Human Attack x 2
767,Sih Kong Yu the Emperor's Scion,Earth,Human,99,6000K,6000000,6,14,Ancient Artifacts,1275,627,171,2650,1231,408,Flowing Breeze,Turn Water and Fire Runestones into Enchanted Heart Runestones,,,Anger of Human,Human Attack x 2
768,Chen Fu the Last Loyal Courtier,Fire,Demon,99,6000K,6000000,6,22,Ultimate Lords,1012,1028,64,1695,2043,331,Transmutation - Fire,"Randomly turn Runestones as much as the accumulated Rounds(dissolving Runestones is necessary) into Fire Runestones, to the max 5 Runestones. The number of Runestones to be converted will reset after activation.",,,Cycle of Venomous Fire,Fire Attack x 4 in the first Round and x 2 in the next (dissolving Runestones is necessary).  The above effects run as a cycle.
769,Huang Lei the Successor of Artisan,Light,Beast,99,5000K,5000000,6,20,Ultimate Lords,1156,926,100,2520,1088,232,Utmost Summit,Turn Attributive Runestones that are the most in number and Heart Runestones (Enchanted Runestones excluded) turned into Enchanted Runestones (Light and Dark Runestones rank first in priority),,,Roar of the Beast,Beast Attack x 3
770,Ji Ke the Leader of Royal Squad,Dark,Demon,99,5000K,5000000,6,20,Ultimate Lords,887,941,70,1486,1922,344,Seven Executions of the Immortal,"The more Demons in the Team, the higher the Demon Attack, to the max x2 with 5 Demons in the Team for 1 Round.",,,Roar of the Demon,Demon Attack x 3
771,Hu-Po,Water,Elf,50,2000K,500000,3,4,Beasts of Xuan-Yuan,151,79,68,505,266,293,Glow of Generous Cloud,Recover HP by 20x the Monster's Recovery for 3 Rounds,,,Power of Elves,Elf Attack x 1.5
772,Baby Amber Dragon,Fire,Dragon,50,2000K,500000,3,4,Beasts of Xuan-Yuan,279,153,29,948,474,122,Ensiform Breath,"Turn Light Runestones into Enchanted Light Runestones, Dark Runestones into Enchanted Dark Runestones",,,Power of Dragons,Dragon Attack x 1.5
773,A-Ji,Earth,Beast,50,2000K,500000,3,4,Beasts of Xuan-Yuan,338,117,12,1058,333,48,Flowing Breeze,Turn Water and Fire Runestones into Enchanted Heart Runestones,,,Power of Beasts,Beast Attack x 1.5
774,Zih Da-Shu,Light,Human,50,2000K,500000,3,4,Beasts of Xuan-Yuan,226,110,37,765,375,152,Dance of Light and Clouds,Light Attack x 1.5 for 1 Round,,,Power of Human,Human Attack x 1.5
775,An-Ka,Dark,Beast,50,2000K,500000,3,4,Beasts of Xuan-Yuan,286,139,12,896,397,48,Gleam of Sirius,The Monster's Attack of next Round will be the same as this Round.,,,Power of Beasts,Beast Attack x 1.5
776,General of Ice - Cerulean Lord,Water,Demon,99,4000K,4000000,6,12,Memoir from Xuan-Yuan,720,816,65,1259,1617,326,Mastery of Frosting,Inactivate all enemies and turn their Attributes into Water; Water Attack x 1.5 for 1 Round.,,,Rage of Human & Demon,Human and Demon Attack x 2
777,General of Flame - Musbile,Fire,Demon,99,4000K,4000000,6,12,Memoir from Xuan-Yuan,757,872,58,1323,1729,290,Territory of God of Fire,"The more Fire Runestones dissolved, the higher the Fire Attack, to the max x 2 by dissolving 12 Fire Runestones for 1 Round. (only the first batch of Runestones dissolved will be counted)",,,Rage of Human & Demon,Human and Demon Attack x 2
778,Primeval Divination - Automata,Earth,Human,99,4000K,4000000,6,12,Memoir from Xuan-Yuan,1184,519,160,2325,1019,358,Steps of the Stargazer,"The more Earth Runestones dissolved, the higher the Earth Attack, to the max x 2 by dissolving 12 Earth Runestones for 1 Round. (only the first batch of Runestones dissolved will be counted)",,,Anger of the Woods,Earth Attack x 2
779,Miles the Devout Knight,Light,Human,99,4000K,4000000,6,12,Memoir from Xuan-Yuan,1067,524,175,2095,1029,393,Domain of Idleness - Light,No Light Runestones will be dissolved; all Attributive Runestones possess 50% effect of Light Runestones for 1 Round.,,,Anger of the Light,Light Attack x 2
780,Du Gu Ning-Ke the Tender Brute,Dark,Human,99,4000K,4000000,6,12,Memoir from Xuan-Yuan,1002,619,158,1969,1215,354,Star Picker,Damage received -60% for 1 Round,,,Anger of the Darkness,Dark Attack x 2
